"Id","SalePrice"
1461,118073.803780623
1462,151340.870563616
1463,176901.491796123
1464,196586.832232008
1465,199916.083936122
1466,168728.27464605
1467,181406.729976251
1468,163062.041896145
1469,189074.552698027
1470,123435.386792618
1471,167847.826309191
1472,100771.45557242
1473,96140.2309696676
1474,142854.0699718
1475,111751.129505764
1476,345567.412747834
1477,254647.053517288
1478,310036.737468102
1479,307103.416320158
1480,502176.188391335
1481,337090.205872663
1482,217159.574396479
1483,170840.960597326
1484,169222.888769703
1485,195859.189516614
1486,190847.902379469
1487,345390.180686033
1488,229349.087964253
1489,188784.13657694
1490,230147.32921241
1491,194874.359477991
1492,92744.6220431255
1493,199219.686458805
1494,300618.473661731
1495,281312.592724435
1496,224750.380470527
1497,175872.998205686
1498,190613.982164215
1499,167655.433223774
1500,163354.828530242
1501,175861.114110498
1502,157404.824301226
1503,319428.842466843
1504,246828.637199921
1505,225774.395535759
1506,188256.273755335
1507,235497.498031915
1508,188857.520130211
1509,154403.205372341
1510,146709.471417062
1511,160417.535568518
1512,170306.945712144
1513,143162.047928873
1514,156370.240338071
1515,180804.853879169
1516,148299.398879597
1517,165153.990962041
1518,128086.250133214
1519,209197.407893048
1520,128823.288138476
1521,128692.013363129
1522,171031.97742108
1523,111574.103206625
1524,114194.975633306
1525,115525.599459198
1526,111064.156807325
1527,111799.979310601
1528,130693.725944963
1529,155445.436785233
1530,205181.420714488
1531,124264.598159641
1532,102124.666130183
1533,143760.719867387
1534,120675.214613691
1535,135140.778653163
1536,109220.019344093
1537,62326.6166501692
1538,148103.860894131
1539,176116.811660968
1540,79347.4620483112
1541,133809.434205458
1542,134778.210122437
1543,165570.381992393
1544,90533.5892321424
1545,117009.928770843
1546,143596.65842809
1547,133244.64718618
1548,135916.020941372
1549,127362.241912581
1550,140967.759951222
1551,107416.879685216
1552,140288.142533304
1553,138441.360247811
1554,123029.946953043
1555,153427.437556221
1556,87316.5802013265
1557,100518.083198667
1558,108240.561079413
1559,82751.0820974903
1560,132869.346283174
1561,111912.480384923
1562,134364.747477505
1563,121726.598506415
1564,159972.502169893
1565,149518.003688759
1566,229293.851198436
1567,80229.8618397408
1568,242619.951112673
1569,128906.775966905
1570,139959.21615091
1571,110170.090317253
1572,132373.716109756
1573,230758.310810469
1574,113840.407759293
1575,237221.846591636
1576,257490.219548645
1577,182980.548841448
1578,145014.032688585
1579,145248.72816948
1580,194730.408323519
1581,165255.243576518
1582,129856.332206326
1583,291849.767725704
1584,220539.362824381
1585,141999.808890634
1586,81721.7084260574
1587,111370.020627558
1588,144452.729775591
1589,96348.9025439207
1590,130204.031979565
1591,93270.3386778561
1592,117164.429735353
1593,135493.521864853
1594,135065.378279676
1595,106095.00961081
1596,219004.570946676
1597,201445.384930957
1598,222838.501772869
1599,159810.532789002
1600,154531.992433772
1601,68038.4558517117
1602,113495.840669036
1603,74905.9303671349
1604,268049.441378298
1605,233521.949543975
1606,165990.696231807
1607,189892.872276844
1608,226559.981055665
1609,183419.98872472
1610,158129.772773768
1611,138776.207301738
1612,166789.229047974
1613,164817.906097417
1614,117460.366909718
1615,91809.9911218231
1616,80378.6991540803
1617,92047.4256789784
1618,137764.634370139
1619,148056.68820248
1620,150165.384581382
1621,128682.326040333
1622,149402.19917972
1623,252388.656253823
1624,202160.96311311
1625,116448.321931369
1626,172545.167899848
1627,189402.175434912
1628,272782.931987433
1629,182308.186509024
1630,340892.980041985
1631,241018.65943474
1632,245529.929754779
1633,186296.893835322
1634,189709.800494424
1635,176131.459982683
1636,154877.129518321
1637,195375.922858755
1638,185542.181881043
1639,182421.072900502
1640,238345.465914179
1641,173147.822088591
1642,247002.091459138
1643,228165.035161688
1644,238358.310432929
1645,219737.199871443
1646,162691.546876323
1647,159207.324470297
1648,129561.890242307
1649,144751.316328605
1650,118633.257909026
1651,121728.342344918
1652,100620.437702518
1653,103219.715962887
1654,147434.448854313
1655,131386.404791867
1656,140759.274319234
1657,149754.75532545
1658,153177.314158388
1659,123130.05588834
1660,157240.639405713
1661,452679.855154087
1662,375980.663608625
1663,357983.019229613
1664,601055.055765803
1665,297223.224756947
1666,310715.670273961
1667,340874.831980519
1668,329701.12142623
1669,303198.071390449
1670,336350.013184895
1671,268601.674657749
1672,414958.963668799
1673,302283.125004269
1674,248888.155279281
1675,199159.395005349
1676,196349.691374818
1677,216996.969653251
1678,460801.161935252
1679,384505.311362139
1680,302447.562250037
1681,238105.864823585
1682,323348.284783573
1683,196181.416930338
1684,182134.390425089
1685,175962.325919319
1686,173666.863156295
1687,168905.731740423
1688,189278.068297335
1689,192524.128172104
1690,200593.882727125
1691,195072.81616865
1692,255907.802008226
1693,177834.295065242
1694,187169.856338055
1695,173520.207274895
1696,286597.617161261
1697,177249.969709733
1698,345622.439482412
1699,334952.878303182
1700,259750.443454181
1701,267479.35436092
1702,240342.633762594
1703,246519.592228619
1704,268554.474607503
1705,243469.903362869
1706,217847.426889745
1707,205776.582258491
1708,202722.00652111
1709,255828.191463509
1710,221448.088105595
1711,275593.332075826
1712,251409.725615385
1713,263331.596772935
1714,215413.26933847
1715,210842.402318695
1716,180351.56834929
1717,186745.372643062
1718,138767.382620349
1719,209064.436898168
1720,236462.952604402
1721,155091.385481809
1722,121636.874076047
1723,150049.32695329
1724,202575.260966486
1725,244217.815596131
1726,189153.325406955
1727,151760.541753048
1728,176553.135189572
1729,171192.172163262
1730,148843.068451085
1731,120213.973332467
1732,129230.671236011
1733,111538.643091386
1734,123958.120829364
1735,124148.735261314
1736,107835.219966812
1737,302766.900723194
1738,256597.776003899
1739,236057.380508446
1740,210233.688280379
1741,188472.70266716
1742,169951.35661826
1743,180238.755329604
1744,321694.726305976
1745,208211.825509324
1746,180620.996799338
